Date,Temperature_C,Humidity_%,CO2_ppm,GrowthRate_cm_per_day,Length_cm,Weight_g,Ammonia_ppm
2024-06-01,26.75,62.99,455.88,0.122,0.122,0.0,6.6
2024-06-02,25.79,66.12,420.65,0.136,0.2581,0.001,4.08
2024-06-03,26.97,65.06,462.25,0.1469,0.405,0.001,4.62
2024-06-04,28.28,65.49,398.92,0.1806,0.5856,0.003,3.81
2024-06-05,25.65,61.13,480.87,0.0803,0.6659,0.004,3.72
2024-06-06,25.65,65.12,464.18,0.121,0.7869,0.006,3.27
2024-06-07,28.37,67.49,457.68,0.1994,0.9863,0.01,5.68
2024-06-08,27.15,72.26,479.48,0.2216,1.2079,0.015,5.35
2024-06-09,25.3,69.8,499.96,0.1589,1.3668,0.02,3.05
2024-06-10,26.81,75.77,480.43,0.2499,1.6167,0.029,5.26
2024-06-11,25.3,61.16,394.77,0.078,1.6947,0.032,5.81
2024-06-12,25.3,69.36,411.61,0.1591,1.8538,0.039,7.27
2024-06-13,26.36,65.92,431.26,0.1449,1.9986,0.046,6.15
2024-06-14,23.13,75.95,450.78,0.1796,2.1782,0.055,5.12
2024-06-15,23.41,60.96,465.53,0.05,2.2282,0.058,4.42
2024-06-16,25.16,60.8,428.23,0.0697,2.2979,0.062,6.02
2024-06-17,24.48,62.0,455.6,0.0669,2.3648,0.066,6.74
2024-06-18,26.47,54.38,427.34,0.05,2.4148,0.07,6.27
2024-06-19,24.64,62.37,431.65,0.0749,2.4897,0.074,5.2
2024-06-20,23.88,61.2,407.8,0.05,2.5397,0.078,5.62
2024-06-21,28.2,65.75,422.3,0.1804,2.72,0.09,3.4
2024-06-22,25.66,66.71,409.45,0.1398,2.8599,0.101,5.68
2024-06-23,26.1,74.38,420.72,0.2248,3.0847,0.119,6.67
2024-06-24,23.86,69.75,481.61,0.1307,3.2154,0.131,4.92
2024-06-25,25.18,62.12,421.52,0.0837,3.2991,0.138,5.15
2024-06-26,26.17,60.51,528.97,0.082,3.3811,0.146,6.45
2024-06-27,24.27,67.46,464.8,0.1168,3.4979,0.157,5.0
2024-06-28,26.56,58.4,455.55,0.0725,3.5704,0.164,6.95
2024-06-29,25.1,74.16,424.25,0.2023,3.7727,0.186,5.43
2024-06-30,25.56,70.9,471.01,0.1767,3.9494,0.205,6.25
2024-07-01,25.1,62.65,432.73,0.0869,4.0363,0.215,4.54
2024-07-02,28.78,56.43,453.66,0.0972,4.1335,0.227,5.62
